Family,Species,Author,Info,Occurrence,Common names,Abundance,Max length,Maturity,Remark,Photo
Chlopsidae,Kaupichthys hyoproroides,"(Strömman, 1896)",M,native ,Grey reef eel (English) ,,30.00 cm TL male/unsexed ,,"Known from the Great Barrier Reef, Clerke Reef (17°15'S) to Scott Reef (14°10'S), W.A.; and from Raine Is. (11°43'S) to Escape Reef (15°50'S), Qld. ",+ 
Gobiidae,Koumansetta rainfordi,"Whitley, 1940",M,native ,Old glory (English) ,,8.50 cm SL male/unsexed ,,"Type locality, Hayman I., Whitsunday Passage, AM IA.2029 (holotype of Koumansetta rainfordi). Known from the Rowley Shoals (17°20'S) to Ashmore Reef (12°15'S), Western Australia and northern Great Barrer Reef (10°48'S) to Lady Musgrave Reef (23°54'S), Queensland (Ref. 75154). Also Ref. 2334. ",+ 
Kraemeriidae,Kraemeria samoensis,"Steindachner, 1906",M,native ,,,3.50 cm TL male/unsexed ,,Known from Western Australia (Ref. 49596). ,+ 
Kuhliidae,Kuhlia mugil,"(Forster, 1801)","Br, M",native ,"Fivebar flagtail (English), Fiveband flagtail (English), Ocean flagfish (English) ",,40.00 cm SL male/unsexed ,,"Known from Torres Strait, Queensland to Seal Rocks, New South Wales (Ref. 7300). Also recorded from the Chesterfield Islands, Norfolk Island and Lord Howe Island (Ref. 41640). Also Ref. 90102. ",+ 
Kuhliidae,Kuhlia rupestris,"(Lacepède, 1802)","Fr, Br, Rstr, Sp",native ,"Jungle perch (English), Buffalo bream (English), Mountain trout (English), Rock flagtail (English) ",common (usually seen) ,45.00 cm TL male/unsexed ,26.5 TL ,"Type locality of Dules haswellii: Rockingham Bay, Queensland (Ref. 41640). Known from Cape York to Maroochy River, Queensland (Ref. 44894). Known from Mulgrave and South Johnstone rivers, Wet Tropics, Northern Queensland (Ref. 40054). Jungle perch have declined in the southern part of their range in Queensland. Most likely due to dams and weirs disrupting their diadromous life history pattern and because of altered flows. Jungle perch have been recorded as far south as the Richmond River in New South Wales Australia. Only small remnant populations remain in the southern part of their range in perennial undammed streams. Some further information on regulations for Kuhlia rupestris. A bag limit of one fish applies in Queensland. A maximum size limit of 35 cm has been set to protect breeding females. Catch and release fishing is encouraged. Fish as large as 5 kg have been reported in remote areas. (Michael Hutchison, pers. Comm., 2002). Also Ref. 2847, 7300, 33390. ",+ 
Kyphosidae,Kyphosus bigibbus,"Lacepède, 1801",M,native ,"Grey drummer (English), Brown chub (English), Southern drummer (English) ",,75.00 cm TL male/unsexed ,,"Known from Shark Bay (Ref. 115274), Western Australia (Ref. 49596) and Queensland (Ref. 55727). Also reported from Lord Howe Island and off Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 95491. ",+ 
Kyphosidae,Kyphosus cinerascens,"(Forsskål, 1775)",M,native ,"Snubnose drummer (English), Blue sea chub (English), Topsail drummer (English) ",,53.00 cm FL male/unsexed ,,"Including Lord Howe I. (Ref. 8879, 75154). Also Ref. 2334. ",+ 
Kyphosidae,Kyphosus cornelii,"(Whitley, 1944)",M,native ,"Western buffalo bream (English), Cornel's drummer (English), Western drummer (English) ",,70.00 cm TL male/unsexed ,,Known from Western Australia (Ref. 75154). Recorded from Shark Bay (Ref. 115274). Also Ref. 9137. ,+ 
Kyphosidae,Kyphosus pacificus,"Sakai & Nakabo, 2004",M,native ,Pacific drummer (English) ,,75.00 cm TL male/unsexed ,,"Collected from Norfolk Islands, Queensland, and Lord Howe Islands (Ref. 55727). ",- 
Kyphosidae,Kyphosus vaigiensis,"(Quoy & Gaimard, 1825)","M, Fi, Lf",native ,"Brassy drummer (English), Brassy chub (English), Long-finned drummer (English), Long-finned drummer (English), Northern silver drummer (English), Queensland drummer (English), Southern drummer (English) ",,70.00 cm TL male/unsexed ,,"Including the Torres Strait Islands (Ref. 13465) and Lord Howe Island (Ref. 75154). Museum: Queensland: Moreton Bay, QM.I 30; Upstart Bay, QM.I 6696; Magnetic I., QM.I 6813; North Stradbroke I., QM.I 11129; Bundaberg, QM.I 12175; Great Keppel Is., QM.I 17816. New South Wales, Port Jackson, NSMT-P 2517 (Ref. 26879). South to Montague Island (Ref. 9002). Also Ref. 2334. ",+ 
Pseudochromidae,Labracinus cyclophthalmus,"(Müller & Troschel, 1849)",M,native ,"Firetail dottyback (English), Fire-tail devil (English), Red dottyback (English) ",,23.50 cm TL male/unsexed ,,Known from Western Australia (Ref. 49596). Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 90102. ,+ 
Pseudochromidae,Labracinus lineatus,"(Castelnau, 1875)",M,endemic ,Lined dottyback (English) ,,25.00 cm TL male/unsexed ,,"Known from Jurien Bay to Broome, Western Australia (Ref. 7300). Recorded from Shark Bay (Ref. 115274). ",+ 
Labridae,Labrichthys unilineatus,"(Guichenot, 1847)",M,native ,"Oneline wrasse (English), Tube-mouth wrasse (English), Tubelip wrasse (English) ",,17.50 cm TL male/unsexed ,,"Including Lord Howe Island (Ref. 9710, 75154). Also recorded from the Great Barrier Reef (Ref. 48636). Also Ref. 2747. Known from Queensland and Western Australia (Ref. 90102). ",+ 
Labridae,Labroides bicolor,"Fowler & Bean, 1928",M,native ,"Bicolor cleanerfish (English), Bicolour cleaner wrasse (English), Two-colour cleaner (English), Two-colour cleaner wrasse (English) ",,15.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154) and off Lord Howe Island (Ref. 1602, 75154). Also Ref. 2334. Known from Queensland and Western Australia (Ref. 90102). ",+ 
Labridae,Labroides dimidiatus,"(Valenciennes, 1839)",M,native ,"Common cleanerfish (English), Blue streak (English), Blue-streak cleaner wrasse (English), Bridled beauty (English), Cleaner fish (English), Cleaner wrasse (English), Common cleaner wrasse (English), Gadfly fish (English) ",,14.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154) and off Lord Howe Island (Ref. 1602, 75154). Recorded from Shark Bay (Ref. 115274). Also Ref. 2334. ",+ 
Labridae,Labroides pectoralis,"Randall & Springer, 1975",M,native ,"Breastspot cleanerfish (English), Breastspot cleaner wrasse (English), Spotbreast cleanerfish (English), Yellow cleaner (English) ",,11.00 cm TL male/unsexed ,,Known from Western Australia and Queensland (Ref. 75154). Also Ref. 1602. ,+ 
Labridae,Labropsis australis,"Randall, 1981",M,native ,Southern tubelip (English) ,,10.50 cm TL male/unsexed ,,"Type locality of Labropsis australis, Great Barrier Reef, Capricorn Group, One Tree I. (Ref. 2137). Reported from Lord Howe Island (Ref. 75154). Also Ref. 2334. ",+ 
Labridae,Labropsis manabei,"Schmidt, 1931",M,native ,"Tailblotch tubelip (English), Rust-blotch wrasse (English) ",,11.70 cm SL male/unsexed ,,Reported from Scott Reef (Ref. 37816). Also from Hibernia reef of Western Australia (Ref. 90102). ,+ 
Labridae,Labropsis xanthonota,"Randall, 1981",M,native ,"Yellowback tubelip (English), Blacklobe wrasse (English), V-tail tubelip wrasse (English), V-tail wrasse (English) ",,13.00 cm TL male/unsexed ,,"Museum: Great Barrier Reef, Carter Reef, Yonge Passage, AMS I.19472.048 (Ref. 2137). Known from Queensland and offshore reefs of Western Australia (Ref. 90102). ",+ 
Ostraciidae,Lactoria cornuta,"(Linnaeus, 1758)",M,native ,"Longhorn cowfish (English), Cow-fish (English), Cowfish (English) ",,46.00 cm TL male/unsexed ,,Museum: CSIRO CA2221. Found from North West Cape to Darwin (Ref. 5978). Also in Lord Howe Island. (Ref. 9710). ,+ 
Ostraciidae,Lactoria diaphana,"(Bloch & Schneider, 1801)","Br, M",native ,"Roundbelly cowfish (English), Diaphanous box-fish (English), Diaphanous cowfish (English) ",,34.00 cm TL male/unsexed ,,Museum: CSIRO CA2220. From North West Cape to Darwin (Ref. 5978).  ,+ 
Ostraciidae,Lactoria fornasini,"(Bianconi, 1846)",M,native ,Thornback cowfish (English) ,,23.00 cm TL male/unsexed ,,Museum: NTM S.10744-008 (TGT981). Found from North West Cape to Darwin (Ref. 5978). Also Ref. 3921. ,+ 
Tetraodontidae,Lagocephalus sceleratus,"(Gmelin, 1789)",M,native ,"North-West blowfish (English), Giant toadfish (English), Giant toado (English), Silver toadfish (English) ",,110 cm TL male/unsexed ,,"Known from the North West Cape to Darwin (Ref. 5978); Western Australia, South Australia, New South Wales and (Queensland) (Ref. 9563). Recorded from Shark Bay (Ref. 115274). Museum: NMNZ P.15090 (TGT2559). ",+ 
Blenniidae,Laiphognathus multimaculatus,"Smith, 1955",M,native ,"Manyspot blenny (English), Many spotted blenny (English), Many-spotted blenny (English) ",,4.00 cm SL male/unsexed ,,Recorded from Western Australia (Ref. 49596). ,+ 
Latridae,Latris lineata,"(Forster, 1801)","M, Ex",native ,"Striped trumpeter (English), Common trumpeter (English), Copper moki (English), Hobart-town trumpeter (English), Kokikohi (English), Real trumpeter (English), Realie (English), Stripey trumpeter (English), Stripy (English), Tasmanian striped trumpeter (English), Tasmanian trumpeter (English), Striped trumpeter (English) ",,120 cm TL male/unsexed ,52.9 FL ,"Type locality, Port Arthur, Tasmania, BMNH 1855.9.19.140 (holotype of Latris hecateia); easte coast of Tasmania, type status and whereabouts unknown (holotype of Latris mortoni) (Ref. 75154). Ranges from South Australia to southern New South Wales and Tasmania. ",+ 
Aulopidae,Latropiscis purpurissatus,"(Richardson, 1843)",M,native ,Sergeant baker (English) ,,60.00 cm TL male/unsexed ,,"Known from Laguna Bay, Qld. (26°22'S) to Houtman Abrolhos Ils, W.A (28°49'S), including N.S.W., Victoria, South Australia and Tasmania (Ref. 7300, 75154). Also Ref. 7434 (as Aulopus milesi). ",+ 
Ophichthidae,Leiuranus semicinctus,"(Lay & Bennett, 1839)",M,native ,"Culverin (English), Banded snake eel (English), Halfbanded snake-eel (English), Saddled snake eel (English) ",,66.00 cm TL male/unsexed ,,"Known from Exmouth Gulf, W.A. to One Tree Is., Qld. (Ref. 7300); including Lord Howe Is., Norfolk Is. (Ref. 8879) and the territory of Ashmore and Cartier Islands (Ref. 75154). Also from New South Wales (Ref. 37816). Also Ref. 1602, 2334, 33390, 75154. ",+ 
Ophichthidae,Leiuranus versicolor,"(Richardson, 1848)",M,native ,Convict snake eel (English) ,,75.40 cm TL male/unsexed ,,"Type locality: Low Isles, Queensland, Australia, BMNH 1933.8.12.13 (holotype of Ophichthus cyclorhinus) (Ref. 75154). Known from Low Isles (16°23'S) to Harvey Bay (25°54'S). Also Ref. 7300, 8879, 37816, 90102. ",+ 
Gobiesocidae,Lepadichthys frenatus,"Waite, 1904",M,native ,"Bridled clingfish (English), Bridled cling-fish (English) ",,5.70 cm SL male/unsexed ,,Reported from North Queensland and Lord Howe Island (Ref. 42101). ,+ 
Gobiesocidae,Lepadichthys lineatus,"Briggs, 1966",M,native ,,,4.50 cm TL male/unsexed ,,Recorded from Western Australia (Ref. 49596). ,+ 
Anthiadidae,Lepidoperca caesiopercula,"(Whitley, 1951)",M,endemic ,Greycheek basslet (English) ,,,,"Known from Cape Moreton, Queensland to Sydney, New South Wales (Ref. 7300). ",+ 
Anthiadidae,Lepidoperca tasmanica,"Norman, 1937",M,endemic ,Tasmanian perch (English) ,,20.00 cm FL male/unsexed ,,Known from Tasmania (Ref. 7300). ,- 
Pomacentridae,Lepidozygus tapeinosoma,"(Bleeker, 1856)",M,native ,Fusiler damsel (English) ,,10.50 cm TL male/unsexed ,,Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 2334. ,+ 
Labridae,Leptojulis cyanopleura,"(Bleeker, 1853)",M,native ,"Shoulderspot wrasse (English), Blue-sided wrasse (English), Blue-spot V-wrasse (English), Blue-spot wrasse (English), Weedy wrasse (English) ",,13.00 cm TL male/unsexed ,,"From North West Cape to Darwin. Recorded from Shark Bay (Ref. 115274). Museum: AMS I.22806-019. Great Barrier Reef , Lizard I., AMS I.18767-011. One Tree I., AMS I.18094-003, I.18098-002, I.18113-001. New South Wales, Sydney Harbor, AMS I.17733-004, I.17740-008, I.18382-002., I.18750-001. North Bondi, AMS I.19495-001 (Ref. 12420). Also Ref. 3132, 2334. ",+ 
Scaridae,Leptoscarus vaigiensis,"(Quoy & Gaimard, 1824)",M,native ,"Marbled parrotfish (English), Blue-spotted parrotfish (English), Slender parrotfish (English) ",,35.20 cm TL male/unsexed ,,"Known in Western Australia: Dampier Arch., North West Cape, Rottnest Is., Shark Bay; Northern Territory, Queensland, and Lord Howe Island (Ref. 525). ",+ 
Lethrinidae,Lethrinus amboinensis,"Bleeker, 1854",M,native ,Ambon emperor (English) ,,70.00 cm TL male/unsexed ,,Known from Western Australia and Northern Territory (Ref. 75154). Also Ref. 2295. ,+ 
Lethrinidae,Lethrinus atkinsoni,"Seale, 1910",M,native ,"Yellowtail emperor (English), Pacific yellowtail emperor (English), Reticulated emperor (English), Tricky snapper (English), Yellow morwong (English), Yellow-tailed emperor (English), Emperor (English) ",,50.00 cm TL male/unsexed ,,"Reported from Lord Howe Island (Ref. 75154). Recorded from Shark Bay (Ref. 115274). Also Ref. 2295, 48635. ",+ 
Lethrinidae,Lethrinus erythracanthus,"Valenciennes, 1830","M, Lf",native ,"Orangespotted emperor (English), Orange-finned emperor (English), Yellow-spotted emperor (English), Yellow-spotted emperor (English) ",,70.00 cm TL male/unsexed ,,Known from Great Barrier Reef (Ref. 37816). Also Ref. 2295. Known from north-eastern Queensland and off-shore reefs of Western Australia (Ref. 90102). ,+ 
Lethrinidae,Lethrinus erythropterus,"Valenciennes, 1830",M,native ,"Longfin emperor (English), Tail-saddled emperor (English) ",,50.00 cm TL male/unsexed ,,Known from Western Australia (Ref. 49596). ,+ 
Lethrinidae,Lethrinus genivittatus,"Valenciennes, 1830","Br, M",native ,"Threadfin emperor (English), Lance emperor (English), Lancer (English), Longspine emperor (English) ",,25.00 cm TL male/unsexed ,,"Found from North West Cape to Darwin (Ref. 5978). Recorded from Shark Bay (Ref. 115274). Reported from Lord Howe Island (Ref. 75154). Also Ref. 2295, 2334. ",+ 
Lethrinidae,Lethrinus harak,"(Fabricius, 1775)",M,native ,"Thumbprint emperor (English), Black blotch emperor (English) ",,54.90 cm FL male/unsexed ,,Known from Queensland (Ref. 75154). Also Ref. 2295. ,+ 
Lethrinidae,Lethrinus laticaudis,"Alleyne & Macleay, 1877","Br, M, Fi, Sp",native ,"Grass emperor (English), Black emperor (English), Blue-lined emperor (English), Blue-spotted emperor (English), Brown kelp-fish (English), Coral bream (English), Grass sweetlip (English), Grey sweetlip (English), Piggy (English), Red-finned emperor (English), Red-throat (English), Snapper bream (English), Squire (English), Sweet-lips (English), Grass emperor (English) ",,56.00 cm TL male/unsexed ,,"Important as a sport fish and in the handline fisheries (Ref. 9775). Recorded from Shark Bay (Ref. 115274). Also Ref. 2295, 2334, 13465, 115321. ",+ 
Lethrinidae,Lethrinus lentjan,"(Lacepède, 1802)","Br, M, Fi, Rstr, Sp",native ,"Redspot emperor (English), Pink-eared emperor (English), Purple-eared emperor (English), Purple-headed emperor (English), Red-spot emperor (English), Redspot emperor (English) ",common (usually seen) ,52.00 cm TL male/unsexed ,16 SL ,"Distributed between North West Cape and Hervey Bay (Ref. 6390). More common in northern and northwestern Australia. Also known from the Torres Strait Islands (Ref. 13465) and Shark Bay (Ref. 115274). Commercial fishery: Emperors in general are caught by handlines, rod-and-line, traps and demersal otter trawling - mainly stern trawling but also semi-pelagic trawling in the Northern Territory. Emperors are trawled off northwestern and northern Australia. From 1970 (Ref. 28206, 28207) until 1991, Taiwanese and later Thai and Chinese fleets operated pair trawlers and stern trawlers on the North West Shelf and northern Australia. Emperors and butterfly bream (Nemipteridae) dominated catches on the North West Shelf for the 10 years from 1980 (Ref. 27275), peaking at a retained catch of 2200 t of emperor in 1982. Emperors were far less abundant in retained catches in the Timor and Arafura seas for the same period. The trawlers worked in depths between 30 m and 120 m, and concentrated on waters between 115° and 120°E (Ref. 28206). Domestic fishing interest in trawling in northern Australia commenced in 1985 and increased after 1988 (Ref. 28207). It is focused on grounds on the North West Shelf, the Arafura Sea and in the northern region of the Gulf of Carpentaria (Ref. 28207), and has a large seasonal component caused by prawn trawlers converted to fish trawling during the closed seasons of the Northern Prawn Fishery (Ref. 28207, 27275). Trap fishing began on the North West Shelf in 1984 (Ref. 28206, 27266). Fishing is carried out on hard-bottom areas to the west or inshore from main areas worked in the past by Taiwanese pair trawlers. It first concentrated on the Monte Bello-Barrow Island area mainly near the coastal towns of Onslow, Port Hedland and Point Samson (Ref. 27266, 28209). The main area for trapping is now north of Broome. Lethrinus lentjan comprised 64% of the emperor catch up to 1991 (Ref. 27275). In the Gulf of Carpentaria, L. lentjan, comprised an average 21% frequency in trawls (Blaker et al 1994). Fish traps used in Western Australia are mostly circular ('O' traps) and are baited usually with pilchards (Sardinops neopilchardus). A small quantity of emperors are also taken by dropline. Most fish from the North West Shelf fishery are sent to Perth as whole, chilled fish. Some are gutted and brined before freezing. Recreational fishery: Emperors are caught with either fresh baits or whole or cut fish, crabs, prawns and squid, and tackle ranges from handlines to casting rigs. The largest emperor recorded by the Australian Anglers Association was 9.6 kg. from Queensland. The recreational fishery in Western Australia extends from the Houtman Abrolhos to Dampier Archipelgo. Resource status: Emperors comprised 47% of demersal fish in retained catches taken by Russian survey vessels on the North West Shelf between 1962 and 1973. Emperors and sea perch (Lutjanidae) comprised 40-60% by weight in 1962 but the amount dropped to about 10% in 1983 (Ref. 28206) (the emperor component of the total catch fell from 27.9% in 1967 to 5.4% in 1983 (Ref. 28006). This reduction in yield can partly be attributed to the removal of large epibenthos from the sea floor by the action of trawlers and to over-fishing these groups in the mixed species trawl fishery (Ref. 28206, 28207). The size composition also changed, with emperors (probably blue-spotted emperors, Lethrinus choerorynchus) larger than 0.6 kg disappearing from the catch after 8 months of fishing (Ref. 28006). By 1986, the catch per unit of effort for emperors had declined by 65% from a peak in 1973. Whereas the abundance of emperors has continued to decline in trawled areas, the catch rate has increased since 1986 due to concentration of fishing effort on emperors by Taiwanese fleets (Ref. 28207). As of 1993, there have been no studies on the resource status of emperors on the Great Barrier Reef and inshore areas of northern Australia. Similarly, there is no information on the resource status of emperors in Western Australian fisheries. Museum: WAMRL Leth Bali 6/83 (TGT2406). Also Ref. 5978, 2334, 33390, 38544. ",+ 
Lethrinidae,Lethrinus microdon,"Valenciennes, 1830",M,native ,"Smalltooth emperor (English), Long-nosed emperor (English) ",,80.00 cm TL male/unsexed ,,"Museum: LPPL JIF198, from North West Cape to Darwin (Ref. 5978). Also Ref. 2295. ",+ 
Lethrinidae,Lethrinus miniatus,"(Forster, 1801)","M, Fi, Rstr, Lf, Sp",native ,"Redthroat emperor (English), Island snapper (English), Lipper (English), Nannygai (English), North-west snapper (English), Red-throat (English), Red-throat emperor (English), Red-throated emperor (English), Sweetlip (English), Sweetlip emperor (English), Sweetlip emperor (English), Tricky snapper (English), Trout (English), Trumpet emperor (English), Trumpeter (English), Yellow-mouthed perch (English), Yellow-mouthed snapper (English), Redthroat emperor (English) ",common (usually seen) ,90.00 cm TL male/unsexed ,33 SL ,"Red-throat emperors are distributed between the Houtman Abrolhos and Sydney Harbour; also Norfolk Island (Ref. 6390). They are reportedly absent from the Gulf of Carpentaria and Queensland waters north of Cooktown (Ref. 27260). Recorded from Shark Bay (Ref. 115274). They are most abundant from the Houtman Abrolhos to North West Cape and on the Great Barrier Reef from near Townsville to the Capricorn-Bunker Reefs group (Ref. 6390). Including Lord Howe I. (Ref. 8879, 75154). Commercial fishery: Emperors in general are caught by handlines, rod-and-line, traps and demersal otter trawling - mainly stern trawling but also semi-pelagic trawling in the Northern Territory. Emperors are trawled off northwestern and northern Australia. From 1970 (Ref. 28206, 28207) until 1991, Taiwanese and later Thai and Chinese fleets operated pair trawlers and stern trawlers on the North West Shelf and northern Australia. Emperors and butterfly bream (Nemipteridae) dominated catches on the North West Shelf for the 10 years from 1980 (Ref. 27275), peaking at a retained catch of 2200 t of emperor in 1982. Emperors were far less abundant in retained catches in the Timor and Arafura seas for the same period. The trawlers worked in depths between 30 m and 120 m, and concentrated on waters between 115° and 120°E (Ref. 28206). Domestic fishing interest in trawling in northern Australia commenced in 1985 and increased after 1988 (Ref. 28207). It is focused on grounds on the North West Shelf, the Arafura Sea and in the northern region of the Gulf of Carpentaria (Ref. 28207), and has a large seasonal component caused by prawn trawlers converted to fish trawling during the closed seasons of the Northern Prawn Fishery (Ref. 28207, 27275). Trap fishing began on the North West Shelf in 1984 (Ref. 28206, 27266). Fishing is carried out on hard-bottom areas to the west or inshore from main areas worked in the past by Taiwanese pair trawlers. It first concentrated on the Monte Bello-Barrow Island area mainly near the coastal towns of Onslow, Port Hedland and Point Samson (Ref. 27266, 28209). The main area for trapping is now north of Broome. Fish traps used in Western Australia are mostly circular ('O' traps) and are baited usually with pilchards (Sardinops neopilchardus). Red-throat emperors are targeted by handline fishers on the west coast. A small quantity of emperors are also taken by dropline. Red-throat emperors are caught in the North West Shelf Trap and Line Fishery, second only to spangled emperors (L. nebulosus) in abundance (Ref. 27266). Red-throat emperors are the third largest component of the Queensland East Coast Reef Line Fishery and comprise 14% of the catch or more than 500 t annually (Ref. 27263). On the Great Barrier Reef this species comprises more than 90% of the emperor catch. Catches of red-throat emperors are highest between August and October. They peak in the waters off Mackay, and are largely confined to waters between Cardwell and Shoalwater Bay, with small catches as far south as Maryborough. Spangled and red-throat emperors are the only emperors of significance on the Great Barrier Reef although red-spot emperors (L. lentjan) are caught in fish traps on the outer slopes of mid-shelf reefs (Ref. 27260). Red-throat emperors are caught with rod-and-line or handlines, baited usually with pilchards. Commercial vessels operate with 2-4 tender boats which anchor over coral 'bombies' to fish. Bottom fishing in Great Barrier Reef shallow lagoons at night catches mainly spangled emperors, and red-throat emperors are caught both in the daytime and at night. There is also a handline fishery for red-throat emperors in Norfolk Island waters. Best catches are taken in summer months between November and February (Ref. 6061). Most fish from the North West Shelf fishery are sent to Perth as whole, chilled fish. Some are gutted and brined before freezing. Recreational fishery: Red-throat emperors are 1 of the major target species by anglers on the Great Barrier Reef and the Queensland east coast. Emperors are caught with either fresh baits or whole or cut fish, crabs, prawns and squid, and tackle ranges from handlines to casting rigs. The largest emperor recorded by the Australian Anglers Association was 9.6 kg. from Queensland. Resource status: Emperors comprised 47% of demersal fish in retained catches taken by Russian survey vessels on the North West Shelf between 1962 and 1973. Emperors and sea perch (Lutjanidae) comprised 40-60% by weight in 1962 but the amount dropped to about 10% in 1983 (Ref. 28206) (the emperor component of the total catch fell from 27.9% in 1967 to 5.4% in 1983 (Ref. 28006). This reduction in yield can partly be attributed to the removal of large epibenthos from the sea floor by the action of trawlers and to over-fishing these groups in the mixed species trawl fishery (Ref. 28206, 28207). The size composition also changed, with emperors (probably blue-spotted emperors) larger than 0.6 kg disappearing from the catch after 8 months of fishing (Ref. 28006). By 1986, the catch per unit of effort for emperors had declined by 65% from a peak in 1973. Whereas the abundance of emperors has continued to decline in trawled areas, the catch rate has increased since 1986 due to concentration of fishing effort on emperors (L. choerorynchus) by Taiwanese fleets (Ref. 28207). As of 1993, there have been no studies on the resource status of emperors on the Great Barrier Reef and inshore areas of northern Australia. Although there have been reports of declining numbers of red-throat emperors on the Great Barrier Reef (Ref. 27260), information from fishing clubs along the coast fom Cairns to Bundaberg do not suggest a decline. Similarly, there is no information on the resource status of emperors in Western Australian fisheries. Museum: CSIRO CA980 (Ref. 5978). Also Ref. 2334, 3111. ",+ 
